Model	Launch	Core name	Tech	Socket	Cores	Threads	Freq (MHz)	Turbo (MHz)	FSB (MHz)	L2 Cache (KB)	L3 Cache (KB)	TDP (Watt)	DP FLOPs/cycle	DB FLOPS (No Turbo)	DB FLOPS/Watt
 E3-1240L v3 	 May 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	2000	3000	  	1024	8192	25	16	128000	5120
 E3-1230L v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	1800	2800	  	1024	8192	25	16	115200	4608
 E3-1275L v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	2700	3900	  	1024	8192	45	16	172800	3840
 E3-1265L v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	2500	3700	  	1024	8192	45	16	160000	3556
 E3-1268L v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	2300	3300	  	1024	8192	45	16	147200	3271
 E3-1286L v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3200	4000	  	1024	8192	65	16	204800	3151
 E3-1285L v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3100	3900	  	1024	8192	65	16	198400	3052
 E3-1281 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3700	4100	  	1024	8192	82	16	236800	2888
 E3-1271 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3600	4000	  	1024	8192	80	16	230400	2880
 E3-1286 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3700	4100	  	1024	8192	84	16	236800	2819
 E3-1280 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3600	4000	  	1024	8192	82	16	230400	2810
 E3-1241 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3500	3900	  	1024	8192	80	16	224000	2800
 E3-1270 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3500	3900	  	1024	8192	80	16	224000	2800
 E3-1276 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3600	4000	  	1024	8192	84	16	230400	2743
 E3-1285 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3600	4000	  	1024	8192	84	16	230400	2743
 E3-1231 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3400	3800	  	1024	8192	80	16	217600	2720
 E3-1240 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3400	3800	  	1024	8192	80	16	217600	2720
 E3-1220L v3 	 Sep 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	2	4	1100	1300	  	512	4096	13	16	35200	2708
 E3-1246 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3500	3900	  	1024	8192	84	16	224000	2667
 E3-1275 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3500	3900	  	1024	8192	84	16	224000	2667
 E3-1230 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3300	3700	  	1024	8192	80	16	211200	2640
 E3-1245 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	8	3400	3800	  	1024	8192	84	16	217600	2590
 E3-1226 v3 	 Jun 2014 	 Haswell LGA1150 	0.022	 Socket 1150 	4	4	3300	3700	  	1024	8192	84	16	211200	2514
 E7-8880L v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2200	2800	 4000 (DMI/QPI) 	3840	38400	105	8	264000	2514
 E3-1220 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	4	3100	3500	  	1024	8192	80	16	198400	2480
 E3-1225 v3 	 Jun 2013 	 Haswell LGA1150 	0.022	 Socket 1150 	4	4	3200	3600	  	1024	8192	84	16	204800	2438
 E7-2880 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2500	3100	 4000 (DMI/QPI) 	3840	38400	130	8	300000	2308
 E7-4880 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2500	3100	 4000 (DMI/QPI) 	3840	38400	130	8	300000	2308
 E7-8880 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2500	3100	 4000 (DMI/QPI) 	3840	38400	130	8	300000	2308
 E5-2450L v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	10	20	1700	2100	 4000 (DMI/QPI) 	2560	25600	60	8	136000	2267
 E7-8857 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	12	12	3000	3600	 4000 (DMI/QPI) 	3072	30720	130	8	288000	2215
 E5-2648L v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	1900	2500	 4000 (DMI/QPI) 	2560	25600	70	8	152000	2171
 E5-4624L v2 	 Mar 2014 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	1900	2500	 4000 (DMI/QPI) 	2560	25600	70	8	152000	2171
 E7-2890 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2800	3400	 4000 (DMI/QPI) 	3840	38400	155	8	336000	2168
 E7-4890 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2800	3400	 4000 (DMI/QPI) 	3840	38400	155	8	336000	2168
 E7-8890 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2800	3400	 4000 (DMI/QPI) 	3840	38400	155	8	336000	2168
 E7-8895 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2800	3600	 4000 (DMI/QPI) 	3840	38400	155	8	336000	2168
 E3-1220L v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	2	4	2300	3500	  	512	3072	17	8	36800	2165
 E7-2870 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2300	2900	 4000 (DMI/QPI) 	3840	30720	130	8	276000	2123
 E7-4870 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2300	2900	 4000 (DMI/QPI) 	3840	30720	130	8	276000	2123
 E7-8870 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	15	30	2300	2900	 4000 (DMI/QPI) 	3840	30720	130	8	276000	2123
 E7-2850 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	12	24	2300	2800	 3600 (DMI/QPI) 	3072	24576	105	8	220800	2103
 E7-4850 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	12	24	2300	2800	 3600 (DMI/QPI) 	3072	24576	105	8	220800	2103
 E7-8850 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	12	24	2300	2800	 3600 (DMI/QPI) 	3072	24576	105	8	220800	2103
 E5-2448L v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	10	20	1800	2400	 4000 (DMI/QPI) 	2560	25600	70	8	144000	2057
 E5-2470 v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	10	20	2400	3200	 4000 (DMI/QPI) 	2560	25600	95	8	192000	2021
 E5-2658 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	2400	3000	 4000 (DMI/QPI) 	2560	25600	95	8	192000	2021
 E5-4650 v2 	 Mar 2014 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	2400	2900	 4000 (DMI/QPI) 	2560	25600	95	8	192000	2021
 E5-2695 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	12	24	2400	3200	 4000 (DMI/QPI) 	3072	30720	115	8	230400	2003
 E5-4657L v2 	 Mar 2014 	 Ivy Bridge-EP 	0.022	 Socket 2011 	12	24	2400	2900	 4000 (DMI/QPI) 	3072	30720	115	8	230400	2003
 E5-2697 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	12	24	2700	3500	 4000 (DMI/QPI) 	3072	30720	130	8	259200	1994
 E5-2680 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	2800	3600	 4000 (DMI/QPI) 	2560	25600	115	8	224000	1948
 E5-2650L v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	1700	2100	 3600 (DMI/QPI) 	2560	25600	70	8	136000	1943
 E5-2418L v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	6	12	2000	  	 3200 (DMI/QPI) 	1536	15360	50	8	96000	1920
 E5-2428L v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	8	16	1800	2300	 3600 (DMI/QPI) 	2048	20480	60	8	115200	1920
 E5-2430L v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	6	12	2400	2800	 3600 (DMI/QPI) 	1536	15360	60	8	115200	1920
 E5-2618L v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	6	12	2000	  	 3200 (DMI/QPI) 	1536	15360	50	8	96000	1920
 E5-2630L v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	6	12	2400	2800	 3600 (DMI/QPI) 	1536	15360	60	8	115200	1920
 E5-2673 v2 	 Dec 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	8	16	3300	4000	 4000 (DMI/QPI) 	2048	25600	110	8	211200	1920
 E7-4860 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	12	24	2600	3200	 4000 (DMI/QPI) 	3072	30720	130	8	249600	1920
 E5-2660 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	2200	3000	 4000 (DMI/QPI) 	2560	25600	95	8	176000	1853
 E5-4640 v2 	 Mar 2014 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	2200	2700	 4000 (DMI/QPI) 	2560	20480	95	8	176000	1853
 E5-2690 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	3000	3600	 4000 (DMI/QPI) 	2560	25600	130	8	240000	1846
 E5-2692 v2 	  	 Ivy Bridge-EP 	0.022	 Socket 2011 	12	24	2200	  	  	3072	30720	115	8	211200	1837
 E5-2449L 	 May 2012 	 Sandy Bridge-EN 	0.032	 Socket 1356 	8	16	1400	1800	 4000 (DMI/QPI) 	2048	20480	50	8	89600	1792
 E3-1265L v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	4	8	2500	3500	  	1024	8192	45	8	80000	1778
 E3-1220L 	 Apr 2011 	 Sandy Bridge 	0.032	 Socket 1155 	2	4	2200	3400	  	512	3072	20	8	35200	1760
 E5-1428L v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	6	12	2200	2700	  	1536	15360	60	8	105600	1760
 E5-2650 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	8	16	2600	3400	 4000 (DMI/QPI) 	2048	20480	95	8	166400	1752
 E5-4620 v2 	 Mar 2014 	 Ivy Bridge-EP 	0.022	 Socket 2011 	8	16	2600	3000	 3600 (DMI/QPI) 	2048	20480	95	8	166400	1752
 E5-2670 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	10	20	2500	3300	 4000 (DMI/QPI) 	2560	25600	115	8	200000	1739
 E5-2628L v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	8	16	1900	2400	 3600 (DMI/QPI) 	2048	20480	70	8	121600	1737
 E3-1260L 	 Apr 2011 	 Sandy Bridge 	0.032	 Socket 1155 	4	8	2400	3300	  	1024	8192	45	8	76800	1707
 E5-2450 v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	8	16	2500	3300	 4000 (DMI/QPI) 	2048	20480	95	8	160000	1684
 E7-4830 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	10	20	2200	2700	 3600 (DMI/QPI) 	2560	20480	105	8	176000	1676
 E3-1280 v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	4	8	3600	4000	  	1024	8192	69	8	115200	1670
 E7-8891 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	10	20	3200	3700	 4000 (DMI/QPI) 	2560	38400	155	8	256000	1652
 E5-2448L 	 May 2012 	 Sandy Bridge-EN 	0.032	 Socket 1356 	8	16	1800	2100	 4000 (DMI/QPI) 	2048	20480	70	8	115200	1646
 E5-2450L 	 May 2012 	 Sandy Bridge-EN 	0.032	 Socket 1356 	8	16	1800	2300	 4000 (DMI/QPI) 	2048	20480	70	8	115200	1646
 E5-2648L 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	1800	2100	 4000 (DMI/QPI) 	2048	20480	70	8	115200	1646
 E5-2650L 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	1800	2300	 4000 (DMI/QPI) 	2048	20480	70	8	115200	1646
 E5-2667 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	8	16	3300	4000	 4000 (DMI/QPI) 	2048	25600	130	8	211200	1625
 E5-4627 v2 	 Mar 2014 	 Ivy Bridge-EP 	0.022	 Socket 2011 	8	8	3300	3600	 3600 (DMI/QPI) 	2048	16384	130	8	211200	1625
 E3-1270 v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	4	8	3500	3900	  	1024	8192	69	8	112000	1623
 E5-4640 	 May 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2400	2800	 4000 (DMI/QPI) 	2048	20480	95	8	153600	1617
 E5-2430L 	 May 2012 	 Sandy Bridge-EN 	0.032	 Socket 1356 	6	12	2000	2500	 3600 (DMI/QPI) 	1536	15360	60	8	96000	1600
 E5-2630L 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	6	12	2000	2500	 3600 (DMI/QPI) 	1536	15360	60	8	96000	1600
 E3-1240 v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	4	8	3400	3800	  	1024	8192	69	8	108800	1577
 E5-2630 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	6	12	2600	3100	 3600 (DMI/QPI) 	1536	15360	80	8	124800	1560
 E5-2470 	 May 2012 	 Sandy Bridge-EN 	0.032	 Socket 1356 	8	16	2300	3100	 4000 (DMI/QPI) 	2048	20480	95	8	147200	1549
 E5-4610 v2 	 Mar 2014 	 Ivy Bridge-EP 	0.022	 Socket 2011 	8	16	2300	2700	 3600 (DMI/QPI) 	2048	16384	95	8	147200	1549
 E3-1230 v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	4	8	3300	3700	  	1024	8192	69	8	105600	1530
 E5-2430 v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	6	12	2500	3000	 3600 (DMI/QPI) 	1536	15360	80	8	120000	1500
 E5-2660 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2200	3000	 4000 (DMI/QPI) 	2048	20480	95	8	140800	1482
 E5-4620 	 May 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2200	2600	 3600 (DMI/QPI) 	2048	16384	95	8	140800	1482
 E5-1680 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	8	16	3000	3900	  	2048	25600	130	8	192000	1477
 E3-1275 v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	4	8	3500	3900	  	1024	8192	77	8	112000	1455
 E5-2687W v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	8	16	3400	4000	 4000 (DMI/QPI) 	2048	25600	150	8	217600	1451
 E5-2670 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2600	3300	 4000 (DMI/QPI) 	2048	20480	115	8	166400	1447
 E5-2689 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2600	3600	 4000 (DMI/QPI) 	2048	20480	115	8	166400	1447
 E5-4650L 	 May 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2600	3100	 4000 (DMI/QPI) 	2048	20480	115	8	166400	1447
 E5-1428L 	 Jun 2012 	 Sandy Bridge-EN 	0.032	 Socket 1356 	6	12	1800	  	  	1536	15360	60	8	86400	1440
 E5-2428L 	 May 2012 	 Sandy Bridge-EN 	0.032	 Socket 1356 	6	12	1800	2000	 3600 (DMI/QPI) 	1536	15360	60	8	86400	1440
 E3-1220 v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	4	4	3100	3500	  	1024	8192	69	8	99200	1438
 E5-2450 	 May 2012 	 Sandy Bridge-EN 	0.032	 Socket 1356 	8	16	2100	2900	 4000 (DMI/QPI) 	2048	20480	95	8	134400	1415
 E5-2658 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2100	2400	 4000 (DMI/QPI) 	2048	20480	95	8	134400	1415
 E3-1245 v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	4	8	3400	3800	  	1024	8192	77	8	108800	1413
 E5-2690 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2900	3800	 4000 (DMI/QPI) 	2048	20480	135	8	185600	1375
 E5-1660 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	6	12	3700	4000	  	1536	15360	130	8	177600	1366
 E3-1290 v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	4	8	3700	4100	  	1024	8192	87	8	118400	1361
 E3-1270 	 Apr 2011 	 Sandy Bridge 	0.032	 Socket 1155 	4	8	3400	3800	  	1024	8192	80	8	108800	1360
 E5-2640 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	8	16	2000	2500	 3600 (DMI/QPI) 	2048	20480	95	8	128000	1347
 E5-2650 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2000	2800	 4000 (DMI/QPI) 	2048	20480	95	8	128000	1347
 E5-2665 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2400	3100	 4000 (DMI/QPI) 	2048	20480	115	8	153600	1336
 E3-1225 v2 	 May 2012 	 Ivy Bridge-H2 	0.022	 Socket 1155 	4	4	3200	3600	  	1024	8192	77	8	102400	1330
 E5-2680 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2700	3500	 4000 (DMI/QPI) 	2048	20480	130	8	172800	1329
 E5-4650 	 May 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	2700	3300	 4000 (DMI/QPI) 	2048	20480	130	8	172800	1329
 E5-2687W 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	8	16	3100	3800	 4000 (DMI/QPI) 	2048	20480	150	8	198400	1323
 E3-1240 	 Apr 2011 	 Sandy Bridge 	0.032	 Socket 1155 	4	8	3300	3700	  	1024	8192	80	8	105600	1320
 E5-2420 v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	6	12	2200	2700	 3600 (DMI/QPI) 	1536	15360	80	8	105600	1320
 E5-4607 v2 	 Mar 2014 	 Ivy Bridge-EP 	0.022	 Socket 2011 	6	12	2600	  	 3200 (DMI/QPI) 	1536	15360	95	8	124800	1314
 E5-1650 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	6	12	3500	3900	  	1536	12288	130	8	168000	1292
 E5-2643 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	6	12	3500	3800	 4000 (DMI/QPI) 	1536	25600	130	8	168000	1292
 E3-1230 	 Apr 2011 	 Sandy Bridge 	0.032	 Socket 1155 	4	8	3200	3600	  	1024	8192	80	8	102400	1280
 E5-2418L 	 May 2012 	 Sandy Bridge-EN 	0.032	 Socket 1356 	4	8	2000	2100	 3200 (DMI/QPI) 	1024	10240	50	8	64000	1280
 E5-2440 v2 	 Jan 2014 	 Ivy Bridge-EN 	0.022	 Socket 1356 	8	16	1900	2400	 3600 (DMI/QPI) 	2048	20480	95	8	121600	1280
 E5-2640 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	6	12	2500	3000	 3600 (DMI/QPI) 	1536	15360	95	8	120000	1263
 E5-2620 v2 	 Sep 2013 	 Ivy Bridge-EP 	0.022	 Socket 2011 	6	12	2100	2600	 3600 (DMI/QPI) 	1536	15360	80	8	100800	1260
 E3-1220 	 Apr 2011 	 Sandy Bridge 	0.032	 Socket 1155 	4	4	3100	3400	  	1024	8192	80	8	99200	1240
 E7-4820 v2 	 Feb 2014 	 Ivy Bridge-EX 	0.022	 Socket 2011-1 	8	16	2000	2500	 3600 (DMI/QPI) 	2048	16384	105	8	128000	1219
 E5-1660 	 Mar 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	6	12	3300	3900	  	1536	15360	130	8	158400	1218
 E3-1290 	 May 2011 	 Sandy Bridge 	0.032	 Socket 1155 	4	8	3600	4000	  	1024	8192	95	8	115200	1213
 E5-2440 	 May 2012 	 Sandy Bridge-EN 	0.032	 Socket 1356 	6	12	2400	2900	 3600 (DMI/QPI) 	1536	15360	95	8	115200	1213
 E5-4610 	 May 2012 	 Sandy Bridge-EP 	0.032	 Socket 2011 	6	12	2400	2900	 3600 (DMI/QPI) 	1536	15360	95	8	115200	1213
